NOAM_type,WOC_type,TCC_type,LCOM5_type,number_private_visibility_methods,isStatic_type,LOC_package,NOCS_type,AMW_type,FANOUT_type,CFNAMM_type,NOMNAMM_package,NOM_package,number_static_methods,AMWNAMM_type,number_standard_design_methods,number_not_final_static_methods,LOC_type,NOMNAMM_type,WMC_type,number_not_final_not_static_methods,RFC_type,ATFD_type,WMCNAMM_type,number_private_visibility_attributes,number_protected_visibility_methods,DIT_type,num_not_final_not_static_attributes,NOA_type,number_not_abstract_not_final_methods,number_abstract_methods,LOCNAMM_type,CBO_type,NOM_type,number_final_static_methods,NIM_type,is_data_class
0,0.5,1.0,1.0,4,0,701,0,1.5,1,2,72,72,0,1.5,6,0,54,6,9,6,56,3,9,0,0,3,2,2,6,0,54,5,6,0,32.0,0
0,0.333333,1.0,0.5,0,0,701,0,2.0,0,0,72,72,0,2.0,2,0,18,2,4,2,48,0,4,0,0,3,3,4,2,0,18,5,2,0,30.0,0
0,0.571429,1.0,1.0,3,0,701,0,1.0,1,2,72,72,0,1.0,7,0,34,7,7,7,57,2,7,0,0,3,3,3,7,0,34,5,7,0,32.0,0
0,0.333333,1.0,0.0,0,0,701,0,1.0,0,0,72,72,0,1.0,1,0,4,1,1,1,49,0,1,0,0,3,2,2,1,0,4,5,1,0,32.0,0
0,0.5,1.0,1.0,3,0,701,0,2.0,2,3,72,72,0,2.0,4,0,35,4,8,4,53,0,8,0,0,3,1,1,4,0,35,5,4,0,32.0,0
0,0.5,0.0,1.0,0,0,701,0,1.5,2,3,72,72,1,1.5,2,1,16,2,3,2,41,4,3,0,0,2,0,1,3,0,16,5,2,0,25.0,0
0,0.5,1.0,1.0,1,0,701,0,2.75,3,10,72,72,0,2.75,4,0,43,4,11,4,53,1,11,0,0,3,3,3,4,0,43,6,4,0,31.0,0
0,1.0,1.0,0.333333,0,0,701,0,1.75,0,0,72,72,0,1.75,3,0,26,4,7,4,4,0,7,0,0,1,1,1,4,0,26,0,4,0,0.0,0
0,0.666667,1.0,1.0,1,0,701,0,1.333333,1,2,72,72,0,1.333333,3,0,24,3,4,3,52,0,4,0,0,3,1,1,3,0,24,5,3,0,32.0,0
0,1.0,0.2,0.6,0,0,701,0,2.333333,3,5,72,72,0,2.333333,6,0,44,6,14,7,52,5,14,0,0,3,1,1,7,0,44,7,6,0,30.0,0
0,0.5,1.0,1.0,1,0,701,0,1.0,1,1,72,72,0,1.0,2,0,15,2,2,2,51,0,2,0,0,3,1,1,2,0,15,5,2,0,32.0,0
0,1.0,0.2,0.9,0,0,701,0,5.0,5,13,72,72,0,5.0,6,0,70,6,30,6,52,2,30,3,0,3,4,7,6,0,70,7,6,0,30.0,0
0,0.05,1.0,1.0,4,0,701,0,4.2,1,6,72,72,0,4.2,5,0,83,5,21,5,57,5,21,0,0,3,19,19,5,0,83,5,5,0,32.0,0
0,0.5,1.0,1.0,2,0,701,0,1.0,2,2,72,72,0,1.0,3,0,20,3,3,3,52,0,3,0,0,3,1,1,3,0,20,5,3,0,32.0,0
0,0.5,0.1,0.75,0,0,1752,0,1.6,3,6,171,182,0,1.6,5,0,49,5,8,5,44,4,8,0,4,2,0,1,5,0,49,5,5,0,25.0,0
0,0.5,0.714286,0.708333,0,0,1752,0,1.5714290000000002,2,7,171,182,1,1.5714290000000002,7,1,72,7,11,7,14,5,11,0,3,1,4,4,8,0,72,3,7,0,0.0,0
0,1.0,0.13333299999999998,0.8888889999999999,0,0,1752,0,2.3,3,12,171,182,0,2.3,10,0,98,10,23,10,48,5,23,0,4,2,2,2,10,0,98,5,10,0,22.0,0
0,1.0,0.622222,0.7,0,0,1752,0,1.727273,0,0,171,182,3,1.727273,10,3,70,11,19,8,11,0,19,0,0,2,2,2,11,0,70,0,11,0,6.0,0
0,0.833333,0.9523809999999999,0.5,0,0,1752,0,1.857143,3,7,171,182,0,1.857143,7,0,65,7,13,7,46,1,13,0,2,2,1,3,7,0,65,5,7,0,25.0,0
1,0.6,0.345455,0.8,0,0,1752,17,3.0,18,18,171,182,4,3.2,10,4,244,10,33,8,29,0,32,0,1,1,5,5,12,0,239,1,11,0,0.0,0
0,1.0,1.0,0.5,0,0,1752,0,1.5,0,0,171,182,0,1.5,2,0,19,2,3,3,2,0,3,0,0,1,2,2,3,0,19,0,2,0,0.0,0
0,1.0,1.0,0.0,0,1,1752,0,1.0,0,0,171,182,0,1.0,1,0,5,1,1,2,28,0,1,0,0,2,0,0,2,0,5,1,1,0,10.0,0
0,1.0,1.0,0.0,0,0,2639,0,1.0,1,4,100,109,0,1.0,0,0,18,4,4,4,9,0,4,0,0,4,0,0,4,0,18,1,4,0,15.0,0
0,1.0,1.0,0.6,0,0,2639,0,2.166667,0,0,100,109,0,2.166667,1,0,50,6,13,6,6,0,13,0,0,3,3,3,6,0,50,0,6,0,14.0,0
0,1.0,1.0,0.723214,25,0,2639,2,11.310345,25,51,100,109,6,11.310345,27,6,1371,29,328,23,87,106,328,1,0,1,4,4,29,0,1371,27,29,0,0.0,0
0,1.0,1.0,0.48148100000000005,8,0,2639,0,4.7,1,1,100,109,0,4.7,9,0,243,10,47,10,12,96,47,0,0,1,3,3,10,0,243,28,10,0,0.0,0
0,0.666667,1.0,1.0,0,1,2639,0,1.0,1,1,100,109,0,1.0,0,0,14,2,2,2,3,0,2,0,0,2,1,1,2,0,14,1,2,0,0.0,0
0,0.2,1.0,1.0,0,0,1690,2,1.0,1,1,46,48,0,1.0,0,0,76,2,2,2,3,0,2,0,0,2,8,8,2,0,76,2,2,0,0.0,0
0,1.0,0.0,0.0,0,0,44,0,1.0,0,0,5,5,0,1.0,2,0,15,2,2,3,21,0,2,0,0,2,0,0,3,0,15,4,2,0,11.0,0
0,1.0,0.0,0.0,0,0,44,0,1.333333,2,2,5,5,0,1.333333,3,0,29,3,4,3,15,0,4,0,0,2,0,0,3,0,29,5,3,0,7.0,0
39,0.025,0.08717899999999999,0.9717950000000001,0,0,1293,0,1.0,3,3,27,138,0,1.0,1,0,330,1,40,41,58,15,1,20,0,1,19,20,41,0,330,9,40,0,0.0,1
18,0.28,0.243333,0.898148,0,0,1293,0,1.0,4,3,27,138,0,1.0,7,0,199,7,25,26,40,5,7,9,0,2,9,9,26,0,37,7,25,0,10.0,1
0,1.0,1.0,0.0,1,0,619,0,3.333333,2,3,28,34,1,3.333333,2,1,88,3,10,2,6,1,10,0,0,5,0,0,3,0,88,2,3,0,72.0,0
6,0.8,0.26108400000000004,0.9373040000000001,0,0,619,0,1.833333,1,1,28,34,0,1.75,23,0,518,24,55,30,31,0,42,0,0,1,6,11,30,0,390,1,30,0,0.0,0
0,1.0,1.0,0.0,0,0,619,0,1.0,1,1,28,34,0,1.0,0,0,13,1,1,1,2,0,1,0,0,4,0,0,1,0,13,1,1,0,75.0,0
9,0.709677,0.49359,0.949275,7,0,7963,3,4.8297870000000005,11,30,277,322,2,5.605263,38,0,1342,38,227,41,77,19,213,13,9,1,24,48,41,0,1264,10,47,2,0.0,0
9,0.39534899999999995,0.272895,0.980867,3,0,7963,6,5.92,10,26,277,322,7,6.243901999999999,41,5,3600,41,296,41,80,0,256,15,21,1,41,96,46,0,3405,5,50,2,0.0,0
0,1.0,0.269231,0.882353,5,0,7963,0,15.888889,9,36,277,322,0,15.888889,18,0,1097,18,286,19,61,61,286,2,12,1,0,2,19,0,1097,9,18,0,0.0,0
7,0.3,0.361111,0.8,0,1,7963,0,1.0,0,0,277,322,0,1.0,2,0,112,4,11,11,11,0,4,0,0,1,6,6,11,0,64,0,11,0,0.0,1
