FDP_method,ATFD_method,MeMCL_method,MaMCL_method,NMCS_method,LAA_method,CDISP_method,CINT_method,ATFD_type,FANOUT_method,CYCLO_method,MAXNESTING_method,LOC_method,NOAV_method,LOCNAMM_type,LOC_type,AMWNAMM_type,CFNAMM_method,AMW_type,LOC_package,LCOM5_type,TCC_type,NOLV_method,WMC_type,NOM_package,CFNAMM_type,RFC_type,WMCNAMM_type,NOMNAMM_package,CBO_type,is_feature_envy
0,0,0,0,0,1.0,1.0,1,3,1,1,1,3,1,54,54,1.5,1,1.5,701,1.0,1.0,0,9,72,2,56,9,72,5,0
0,0,0,0,0,1.0,1.0,1,3,1,1,1,3,1,54,54,1.5,1,1.5,701,1.0,1.0,0,9,72,2,56,9,72,5,0
0,0,0,0,0,0.0,1.0,1,3,1,1,1,5,2,54,54,1.5,1,1.5,701,1.0,1.0,2,9,72,2,56,9,72,5,0
1,2,0,0,0,0.0,0.0,0,3,0,2,2,11,5,54,54,1.5,0,1.5,701,1.0,1.0,3,9,72,2,56,9,72,5,0
1,2,0,0,0,0.0,0.0,0,3,0,2,2,11,5,54,54,1.5,0,1.5,701,1.0,1.0,3,9,72,2,56,9,72,5,0
1,2,0,0,0,0.0,0.0,0,3,0,2,2,11,5,54,54,1.5,0,1.5,701,1.0,1.0,3,9,72,2,56,9,72,5,0
2,5,0,0,0,0.28571399999999997,0.333333,3,5,1,5,3,29,12,35,35,5.0,3,5.0,701,0.0,1.0,8,5,72,3,52,5,72,6,1
0,0,0,0,0,0.0,1.0,1,0,1,1,1,3,2,18,18,1.0,1,1.0,2639,0.0,1.0,2,4,109,4,9,4,100,1,0
0,0,0,0,0,0.0,1.0,1,0,1,1,1,3,4,18,18,1.0,1,1.0,2639,0.0,1.0,4,4,109,4,9,4,100,1,0
0,0,0,0,0,0.0,1.0,1,0,1,1,1,3,2,18,18,1.0,1,1.0,2639,0.0,1.0,2,4,109,4,9,4,100,1,0
0,0,0,0,0,0.0,1.0,1,0,1,1,1,3,3,18,18,1.0,1,1.0,2639,0.0,1.0,3,4,109,4,9,4,100,1,0
3,10,0,0,0,0.294118,0.833333,6,106,5,6,3,33,23,1371,1371,11.310345,6,11.310345,2639,0.723214,1.0,6,328,109,51,87,328,100,27,1
2,9,0,0,0,0.166667,0.333333,3,106,1,10,4,48,17,1371,1371,11.310345,3,11.310345,2639,0.723214,1.0,6,328,109,51,87,328,100,27,1
2,56,0,0,0,0.3,0.368421,19,106,7,139,6,523,105,1371,1371,11.310345,19,11.310345,2639,0.723214,1.0,25,328,109,51,87,328,100,27,1
8,83,0,0,0,0.023528999999999998,0.6,5,173,3,75,6,257,101,828,828,6.8709679999999995,5,6.8709679999999995,1422,0.666667,1.0,16,213,54,13,44,213,54,36,1
0,0,0,0,0,0.0,0.0,0,0,0,1,1,5,1,15,15,1.0,0,1.0,44,0.0,0.0,1,2,5,0,21,2,5,4,0
0,0,0,0,0,0.0,0.0,0,0,0,1,1,4,0,15,15,1.0,0,1.0,44,0.0,0.0,1,2,5,0,21,2,5,4,0
0,0,0,0,0,0.0,0.0,0,0,0,1,1,3,0,29,29,1.333333,0,1.333333,44,0.0,0.0,0,4,5,2,15,4,5,5,0
0,0,0,0,0,1.0,0.0,0,15,0,1,1,4,1,330,330,1.0,0,1.0,1293,0.9717950000000001,0.08717899999999999,0,40,138,3,58,1,27,9,0
2,9,0,0,0,0.1,0.428571,7,13,3,23,5,176,32,538,538,2.5,3,2.5,1447,1.0,0.7843140000000001,18,45,77,5,31,45,60,6,1
0,0,0,0,0,0.0,1.0,1,1,1,3,2,18,0,88,88,3.333333,1,3.333333,619,0.0,1.0,1,10,34,3,6,10,28,2,0
1,1,0,0,0,0.0,0.5,2,1,1,4,2,27,7,88,88,3.333333,2,3.333333,619,0.0,1.0,6,10,34,3,6,10,28,2,0
1,1,0,0,0,0.0,0.5,2,1,1,3,3,12,4,88,88,3.333333,2,3.333333,619,0.0,1.0,4,10,34,3,6,10,28,2,0
0,0,0,0,0,1.0,1.0,1,0,1,1,1,7,4,390,518,1.75,1,1.833333,619,0.9373040000000001,0.26108400000000004,0,55,34,1,31,42,28,1,0
0,0,0,0,0,0.0,0.0,0,0,0,1,1,4,2,390,518,1.75,0,1.833333,619,0.9373040000000001,0.26108400000000004,2,55,34,1,31,42,28,1,0
0,0,0,0,0,1.0,0.0,0,0,0,3,3,30,14,390,518,1.75,0,1.833333,619,0.9373040000000001,0.26108400000000004,10,55,34,1,31,42,28,1,0
2,15,0,0,0,0.428571,0.454545,11,19,5,60,7,206,52,1264,1342,5.605263,11,4.8297870000000005,7963,0.949275,0.49359,19,227,322,30,77,213,277,10,1
0,0,0,0,0,1.0,0.333333,6,0,2,21,7,111,18,469,469,7.714286,6,7.714286,7963,0.9,0.3,17,54,322,10,17,54,277,1,0
1,19,0,0,0,0.095238,1.0,1,22,1,2,1,7,32,488,624,3.111111,0,2.166667,7963,0.989967,0.177866,1,52,322,13,41,28,277,9,1
5,33,0,0,0,0.0,0.333333,21,61,7,42,7,142,51,1097,1097,15.888889,16,15.888889,7963,0.882353,0.269231,12,286,322,36,61,286,277,9,1
