ATFD_type,FANOUT_type,number_private_visibility_methods,number_standard_design_methods,CFNAMM_type,AMWNAMM_type,AMW_type,WMCNAMM_type,NOMNAMM_type,NOCS_type,number_not_final_static_methods,WMC_type,number_static_methods,CBO_type,number_protected_visibility_methods,RFC_type,TCC_type,LCOM5_type,isStatic_type,LOCNAMM_type,LOC_type,NOM_type,number_final_static_methods,number_final_not_static_methods,number_not_abstract_not_final_methods,number_final_methods,num_static_attributes,is_god_class
0,0,0,2,0,2.0,2.0,4,2,0,0,4,0,5,0,48,1.0,0.5,0,18,18,2,0,0,2,0,1,0
2,1,3,7,2,1.0,1.0,7,7,0,0,7,0,5,0,57,1.0,1.0,0,34,34,7,0,0,7,0,0,0
0,0,0,1,0,1.0,1.0,1,1,0,0,1,0,5,0,49,1.0,0.0,0,4,4,1,0,0,1,0,0,0
0,2,3,4,3,2.0,2.0,8,4,0,0,8,0,5,0,53,1.0,1.0,0,35,35,4,0,0,4,0,0,0
4,2,0,2,3,1.5,1.5,3,2,0,1,3,1,5,0,41,0.0,1.0,0,16,16,2,0,0,3,0,1,0
1,3,1,4,10,2.75,2.75,11,4,0,0,11,0,6,0,53,1.0,1.0,0,43,43,4,0,0,4,0,0,0
0,0,0,3,0,1.75,1.75,7,4,0,0,7,0,0,0,4,1.0,0.333333,0,26,26,4,0,0,4,0,0,0
0,1,1,3,2,1.333333,1.333333,4,3,0,0,4,0,5,0,52,1.0,1.0,0,24,24,3,0,0,3,0,0,0
0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,2,2,0,0,0,0,0,0,0
5,3,0,6,5,2.333333,2.333333,14,6,0,0,14,0,7,0,52,0.2,0.6,0,44,44,6,0,0,7,0,0,0
5,1,0,1,3,5.0,5.0,5,1,0,0,5,0,6,0,52,1.0,0.0,0,35,35,1,0,0,1,0,0,0
0,1,1,2,1,1.0,1.0,2,2,0,0,2,0,5,0,51,1.0,1.0,0,15,15,2,0,0,2,0,0,0
2,5,0,6,13,5.0,5.0,30,6,0,0,30,0,7,0,52,0.2,0.9,0,70,70,6,0,0,6,0,3,0
5,1,4,5,6,4.2,4.2,21,5,0,0,21,0,5,0,57,1.0,1.0,0,83,83,5,0,0,5,0,0,0
0,2,2,3,2,1.0,1.0,3,3,0,0,3,0,5,0,52,1.0,1.0,0,20,20,3,0,0,3,0,0,0
4,3,0,5,6,1.6,1.6,8,5,0,0,8,0,5,4,44,0.1,0.75,0,49,49,5,0,0,5,0,1,0
0,2,0,7,3,1.5714290000000002,1.5714290000000002,11,7,0,3,11,3,5,0,45,0.0,0.0,0,51,51,7,0,0,7,0,0,0
5,2,0,7,7,1.5714290000000002,1.5714290000000002,11,7,0,1,11,1,3,3,14,0.714286,0.708333,0,72,72,7,0,0,8,0,0,0
5,3,0,10,12,2.3,2.3,23,10,0,0,23,0,5,4,48,0.13333299999999998,0.8888889999999999,0,98,98,10,0,0,10,0,0,1
0,0,0,10,0,1.727273,1.727273,19,11,0,3,19,3,0,0,11,0.622222,0.7,0,70,70,11,0,0,11,0,0,0
1,3,0,7,7,1.857143,1.857143,13,7,0,0,13,0,5,2,46,0.9523809999999999,0.5,0,65,65,7,0,0,7,0,2,0
0,18,0,10,18,3.2,3.0,32,10,17,4,33,4,1,1,29,0.345455,0.8,0,239,244,11,0,0,12,0,0,0
7,5,1,26,13,2.076923,2.0370369999999998,54,26,1,3,55,3,4,3,40,0.39076900000000003,0.9615379999999999,0,278,283,27,0,0,28,0,4,1
0,0,0,2,0,1.5,1.5,3,2,0,0,3,0,0,0,2,1.0,0.5,0,19,19,2,0,0,3,0,0,0
0,0,0,0,0,0.0,1.0,0,0,0,0,1,0,2,0,28,1.0,0.0,1,0,5,1,0,0,2,0,0,0
0,0,0,1,0,1.0,1.0,1,1,0,0,1,0,1,0,28,1.0,0.0,1,5,5,1,0,0,2,0,0,0
0,0,0,0,0,0.0,1.0,0,0,0,0,1,0,2,0,28,1.0,0.0,1,0,5,1,0,0,2,0,0,0
0,1,0,0,4,1.0,1.0,4,4,0,0,4,0,1,0,9,1.0,0.0,0,18,18,4,0,0,4,0,0,0
0,0,0,1,0,2.166667,2.166667,13,6,0,0,13,0,0,0,6,1.0,0.6,0,50,50,6,0,0,6,0,0,0
106,25,25,27,51,11.310345,11.310345,328,29,2,6,328,6,27,0,87,1.0,0.723214,0,1371,1371,29,0,0,29,0,0,1
96,1,8,9,1,4.7,4.7,47,10,0,0,47,0,28,0,12,1.0,0.48148100000000005,0,243,243,10,0,0,10,0,0,0
0,1,0,0,1,1.0,1.0,2,2,0,0,2,0,1,0,3,1.0,1.0,1,14,14,2,0,0,2,0,0,0
0,1,0,0,1,1.0,1.0,2,2,2,0,2,0,2,0,3,1.0,1.0,0,76,76,2,0,0,2,0,0,0
0,0,0,2,0,1.0,1.0,2,2,0,0,2,0,4,0,21,0.0,0.0,0,15,15,2,0,0,3,0,0,0
0,2,0,3,2,1.333333,1.333333,4,3,0,0,4,0,5,0,15,0.0,0.0,0,29,29,3,0,0,3,0,0,0
15,3,0,1,3,1.0,1.0,1,1,0,0,40,0,9,0,58,0.08717899999999999,0.9717950000000001,0,330,330,40,0,0,41,0,1,0
5,4,0,7,3,1.0,1.0,7,7,0,0,25,0,7,0,40,0.243333,0.898148,0,37,199,25,0,0,26,0,0,0
1,2,1,2,3,3.333333,3.333333,10,3,0,1,10,1,2,0,6,1.0,0.0,0,88,88,3,0,0,3,0,0,0
0,1,0,23,1,1.75,1.833333,42,24,0,0,55,0,1,0,31,0.26108400000000004,0.9373040000000001,0,390,518,30,0,0,30,0,5,0
19,11,7,38,30,5.605263,4.8297870000000005,213,38,3,0,227,2,10,9,77,0.49359,0.949275,0,1264,1342,47,2,5,41,7,19,1
0,10,3,41,26,6.243901999999999,5.92,256,41,6,5,296,7,5,21,80,0.272895,0.980867,0,3405,3600,50,2,3,46,5,47,1
61,9,5,18,36,15.888889,15.888889,286,18,0,0,286,0,9,12,61,0.269231,0.882353,0,1097,1097,18,0,0,19,0,0,1
0,0,0,2,0,1.0,1.0,4,4,0,0,11,0,0,0,11,0.361111,0.8,1,64,112,11,0,0,11,0,0,0
0,10,2,4,11,2.0,2.0,8,4,10,4,8,4,0,0,15,0.0,0.0,0,196,196,4,0,0,4,0,0,0
0,1,0,1,2,1.0,1.0,2,2,0,0,2,0,2,0,4,1.0,0.5,1,26,26,2,0,0,2,0,0,0
0,0,0,7,0,1.0,1.0,7,7,0,0,11,0,0,0,11,0.418182,0.8,0,67,107,11,0,0,12,0,0,0
0,4,0,4,4,2.5,2.5,10,4,1,0,10,0,10,2,34,0.5,0.6,0,166,166,4,0,0,4,0,1,0
2,1,0,1,1,6.0,6.0,6,1,0,0,6,0,3,0,2,1.0,0.0,0,34,34,1,0,0,2,0,0,0
3,5,10,50,11,4.314815,3.8730160000000002,233,54,7,1,244,1,3,19,77,0.38350300000000004,0.953717,0,1910,2005,63,0,4,55,4,6,1
0,0,0,8,0,1.0,1.0,9,9,0,0,16,0,4,0,16,0.2,0.866667,0,105,175,16,0,0,16,0,0,0
0,0,1,0,0,1.0,1.0,1,1,0,0,1,0,0,0,1,1.0,0.0,0,38,38,1,0,0,1,0,6,0
