MAXNESTING_method,CYCLO_method,NOLV_method,LOC_method,NOAV_method,CDISP_method,FDP_method,CFNAMM_method,CINT_method,MaMCL_method,CLNAMM_method,NMCS_method,FANOUT_method,MeMCL_method,AMWNAMM_type,AMW_type,LAA_method,LOCNAMM_type,LOC_type,WMCNAMM_type,LOC_package,LCOM5_type,ATFD_method,WMC_type,NOP_method,TCC_type,NOM_package,NOMNAMM_package,ATLD_method,number_final_not_static_methods,CFNAMM_type,ATFD_type,number_final_methods,is_long_method
1,1,0,3,1,1.0,0,1,1,0,1,0,1,0,1.5,1.5,1.0,54,54,9,701,1.0,0,9,0,1.0,72,72,1,0,2,3,0,0
1,1,0,3,1,1.0,0,1,1,0,1,0,1,0,1.5,1.5,1.0,54,54,9,701,1.0,0,9,0,1.0,72,72,1,0,2,3,0,0
1,1,2,5,2,1.0,0,1,1,0,0,0,1,0,1.5,1.5,0.0,54,54,9,701,1.0,0,9,1,1.0,72,72,0,0,2,3,0,0
2,2,3,11,5,0.0,1,0,0,0,1,0,0,0,1.5,1.5,0.0,54,54,9,701,1.0,2,9,1,1.0,72,72,0,0,2,3,0,0
2,2,3,11,5,0.0,1,0,0,0,1,0,0,0,1.5,1.5,0.0,54,54,9,701,1.0,2,9,1,1.0,72,72,0,0,2,3,0,0
2,2,3,11,5,0.0,1,0,0,0,0,0,0,0,1.5,1.5,0.0,54,54,9,701,1.0,2,9,1,1.0,72,72,0,0,2,3,0,0
3,5,8,29,12,0.333333,2,3,3,0,0,0,1,0,5.0,5.0,0.28571399999999997,35,35,5,701,0.0,5,5,0,1.0,72,72,2,0,3,5,0,0
1,1,2,3,2,1.0,0,1,1,0,0,0,1,0,1.0,1.0,0.0,18,18,4,2639,0.0,0,4,2,1.0,109,100,0,0,4,0,0,0
1,1,4,3,4,1.0,0,1,1,0,0,0,1,0,1.0,1.0,0.0,18,18,4,2639,0.0,0,4,4,1.0,109,100,0,0,4,0,0,0
1,1,2,3,2,1.0,0,1,1,0,0,0,1,0,1.0,1.0,0.0,18,18,4,2639,0.0,0,4,2,1.0,109,100,0,0,4,0,0,0
1,1,3,3,3,1.0,0,1,1,0,0,0,1,0,1.0,1.0,0.0,18,18,4,2639,0.0,0,4,3,1.0,109,100,0,0,4,0,0,0
3,6,6,33,23,0.833333,3,6,6,0,3,0,5,0,11.310345,11.310345,0.294118,1371,1371,328,2639,0.723214,10,328,0,1.0,109,100,5,0,51,106,0,0
4,10,6,48,17,0.333333,2,3,3,0,6,0,1,0,11.310345,11.310345,0.166667,1371,1371,328,2639,0.723214,9,328,5,1.0,109,100,2,0,51,106,0,0
6,139,25,523,105,0.368421,2,19,19,0,6,0,7,0,11.310345,11.310345,0.3,1371,1371,328,2639,0.723214,56,328,1,1.0,109,100,24,0,51,106,0,1
6,75,16,257,101,0.6,8,5,5,0,4,0,3,0,6.8709679999999995,6.8709679999999995,0.023528999999999998,828,828,213,1422,0.666667,83,213,2,1.0,54,54,2,0,13,173,0,1
1,1,1,5,1,0.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,15,15,2,44,0.0,0,2,1,0.0,5,5,0,0,0,0,0,0
1,1,1,4,0,0.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,15,15,2,44,0.0,0,2,1,0.0,5,5,0,0,0,0,0,0
1,1,1,5,1,0.0,0,0,0,0,1,0,0,0,1.333333,1.333333,0.0,29,29,4,44,0.0,0,4,1,0.0,5,5,0,0,2,0,0,0
2,2,2,12,1,1.0,0,2,2,0,0,0,2,0,1.333333,1.333333,0.0,29,29,4,44,0.0,0,4,2,0.0,5,5,0,0,2,0,0,0
1,1,0,3,0,0.0,0,0,0,0,0,0,0,0,1.333333,1.333333,0.0,29,29,4,44,0.0,0,4,0,0.0,5,5,0,0,2,0,0,0
1,1,0,4,1,0.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,330,330,1,1293,0.9717950000000001,0,40,0,0.08717899999999999,138,27,1,0,3,15,0,0
