NOP_method,NOLV_method,AMW_type,LOCNAMM_type,LOC_type,CFNAMM_type,AMWNAMM_type,LCOM5_type,NOAV_method,TCC_type,LOC_package,NIM_type,NOM_package,NOMNAMM_package,RFC_type,LOC_method,WMC_type,WMCNAMM_type,NOCS_package,ATLD_method,CDISP_method,NOM_type,is_long_parameters_list
0,0,1.8125,172,221,406,2.0,0.9611111109999999,6.0,0.177777778,229,50.91351351,16,9,34,8,29,18,6,3.0,0.0,16,0
0,0,1.0,16,16,0,1.0,0.5,1.0,1.0,4223,0.0,240,198,3,3,3,3,38,1.0,0.0,3,0
1,1,2.219512195,1669,1957,51801,2.489361702,0.9921068609999999,1.0,0.012612613,4223,77.0,240,198,571,2,273,234,38,0.0,1.0,123,0
0,0,1.0,206,288,0,1.0,1.010989011,0.0,0.0,6037,50.91351351,728,523,92,1,92,71,34,0.0,0.0,92,0
1,1,1.0,12,12,0,1.0,0.0,2.0,0.0,6037,0.0,728,523,4,3,3,3,34,0.0,1.0,3,0
1,1,1.0,40,40,0,1.0,0.0,0.0,0.0,6037,50.91351351,728,523,18,1,18,18,34,0.0,0.0,18,0
0,0,2.625,132,132,386,2.625,0.7857142859999999,0.0,0.47619047600000003,5031,15.0,435,380,45,3,21,21,74,0.0,0.0,8,0
1,1,1.0,31,31,16,1.0,1.0,0.0,0.0,5031,0.0,435,380,6,3,4,4,74,0.0,0.0,4,0
2,4,1.6666666669999999,33,33,20,1.6666666669999999,1.166666667,7.0,1.0,5031,0.0,435,380,5,13,5,5,74,3.0,0.5,3,0
2,2,1.0,2,7,0,1.0,0.0,0.0,0.0,1339,50.91351351,136,108,5,1,5,2,18,0.0,0.0,5,0
0,0,3.470588235,220,235,346,3.733333333,0.916666667,1.0,0.090909091,6298,0.0,410,322,32,3,59,56,59,1.0,1.0,17,0
0,0,3.470588235,220,235,346,3.733333333,0.916666667,1.0,0.090909091,6298,0.0,410,322,32,2,59,56,59,0.0,1.0,17,0
1,1,2.25,128,128,117,2.25,0.0,1.0,0.0,396,65.0,32,28,65,3,18,18,8,0.0,0.0,8,0
0,0,1.0,18,23,0,1.0,0.0,0.0,0.0,1343,0.0,128,76,5,3,5,4,30,0.0,0.0,5,0
0,2,2.555555556,613,628,620,3.0,1.0443548390000001,5.0,0.0,1234,538.0,72,60,51,5,23,21,23,1.0,1.0,9,0
3,3,1.125,44,44,94,1.125,0.857142857,4.0,0.133333333,921,99.0,92,76,196,4,9,9,16,1.0,0.0,8,0
4,16,2.5,399,399,2090,2.5,0.903361345,24.0,0.857142857,2362,0.0,136,132,81,51,45,45,57,5.0,0.7857142859999999,18,0
3,3,1.166666667,42,42,57,1.166666667,0.0,5.0,0.0,2362,5.0,136,132,24,4,7,7,57,0.0,1.0,6,0
3,3,1.333333333,72,72,126,1.333333333,1.0,3.0,0.0,4223,99.0,240,198,198,4,12,12,38,0.0,0.0,9,0
4,5,3.6,66,66,61,3.6,0.0,5.0,0.0,4223,42.0,240,198,60,23,18,18,38,0.0,1.0,5,0
3,3,2.0333333330000003,310,377,1214,2.3181818180000002,0.943965517,8.0,0.057142857000000005,4223,111.0,240,198,208,12,61,51,38,2.0,0.5,30,0
3,3,2.219512195,1669,1957,51801,2.489361702,0.9921068609999999,4.0,0.012612613,4223,77.0,240,198,571,5,273,234,38,1.0,1.0,123,0
4,6,1.857142857,44,44,35,1.857142857,0.0,7.0,1.0,3615,0.0,233,182,12,6,13,13,78,1.0,0.0,7,1
3,6,2.395833333,1063,1116,1992,2.692307692,0.994877857,6.0,0.054054054000000004,8258,534.0,437,388,104,11,115,105,50,0.0,0.0,48,0
4,6,2.8,2637,2829,54,2.9156626510000003,0.971910112,8.0,0.042455535999999995,8258,0.0,437,388,91,23,252,242,50,2.0,0.0,90,0
4,7,2.8,2637,2829,54,2.9156626510000003,0.971910112,8.0,0.042455535999999995,8258,0.0,437,388,91,30,252,242,50,2.0,0.0,90,0
3,10,2.666666667,158,158,346,2.666666667,0.6875,11.0,0.666666667,5031,15.0,435,380,36,20,24,24,74,1.0,1.0,9,0
3,3,1.0,119,192,0,1.0,1.016129032,0.0,0.0,5031,50.91351351,435,380,63,4,63,43,74,0.0,0.0,63,0
3,8,2.444444444,101,118,280,2.375,0.75,9.0,0.4,5031,15.0,435,380,31,28,22,19,74,1.0,0.0,9,0
3,3,1.333333333,77,77,152,1.333333333,0.9375,5.0,0.166666667,5031,17.0,435,380,30,4,12,12,74,0.0,0.666666667,9,0
3,7,2.666666667,568,573,94,2.785714286,0.972527473,16.0,0.095238095,2462,538.0,40,37,21,90,40,39,18,9.0,1.0,15,0
3,3,1.3,58,90,53,1.75,0.920634921,5.0,0.222222222,2462,6.0,40,37,19,20,13,7,18,3.0,1.0,10,0
3,7,2.826530612,995,1350,9678,2.85915493,0.980277902,7.0,0.071103983,6298,516.0,410,322,185,26,277,203,59,0.0,0.0,98,0
3,4,1.4,51,51,71,1.4,1.0,3.0,0.0,6298,17.0,410,322,33,4,7,7,59,0.0,1.0,5,0
3,10,2.0,90,90,116,2.0,1.083333333,12.0,0.0,6298,17.0,410,322,39,27,10,10,59,1.0,0.428571429,5,0
3,3,1.0,3,3,0,1.0,0.0,0.0,1.0,237,50.91351351,12,12,1,1,1,1,3,0.0,0.0,1,0
7,9,2.5,37,37,2,2.5,1.0,14.0,1.0,2362,576.0,136,132,5,29,5,5,57,3.0,1.0,2,1
7,15,1.642857143,139,153,166,1.6666666669999999,0.923076923,15.0,0.109090909,6298,0.0,410,322,23,19,23,20,59,0.0,0.0,14,1
8,11,3.666666667,150,150,0,3.666666667,0.0,11.0,1.0,6298,0.0,410,322,6,10,22,22,59,0.0,0.0,6,1
10,13,3.666666667,150,150,0,3.666666667,0.0,13.0,1.0,6298,0.0,410,322,6,11,22,22,59,0.0,0.0,6,1
7,7,2.5,149,157,48,3.0,0.833333333,14.0,1.0,1343,0.0,128,76,13,10,10,9,30,7.0,0.0,4,1
0,1,11.31034483,1371,1371,4344,11.31034483,0.7232142859999999,7.0,0.0,2639,0.0,106,97,87,20,328,328,8,6.0,0.375,29,0
1,1,11.31034483,1371,1371,4344,11.31034483,0.7232142859999999,1.0,0.0,2639,0.0,106,97,87,7,328,328,8,0.0,0.0,29,0
2,2,1.0,18,18,24,1.0,0.0,2.0,1.0,2639,15.0,106,97,9,3,4,4,8,0.0,0.0,4,0
0,0,5.4375,550,590,72,6.916666667,0.7771260999999999,1.0,0.19166666699999999,2639,0.0,106,97,34,3,174,166,8,1.0,0.0,32,0
1,1,10.45833333,669,669,0,10.45833333,1.0,3.0,0.0,943,0.0,34,33,24,7,251,251,5,0.0,0.0,24,0
1,3,10.45833333,669,669,0,10.45833333,1.0,3.0,0.0,943,0.0,34,33,24,22,251,251,5,0.0,0.0,24,0
0,6,9.0,174,174,10,9.0,0.75,7.0,0.1,943,0.0,34,33,6,17,45,45,5,1.0,0.0,5,0
1,1,9.0,174,174,10,9.0,0.75,1.0,0.1,943,0.0,34,33,6,3,45,45,5,0.0,0.0,5,0
1,1,1.0,11,11,5,1.0,1.0,3.0,1.0,1690,0.0,42,40,3,4,2,2,32,1.0,0.0,2,0
1,6,6.870967742,828,828,1106,6.870967742,0.666666667,9.0,0.0,1422,0.0,54,54,44,12,213,213,3,1.0,0.666666667,31,0
1,2,6.870967742,828,828,1106,6.870967742,0.666666667,2.0,0.0,1422,0.0,54,54,44,4,213,213,3,0.0,0.0,31,0
0,3,4.333333333,569,569,764,4.333333333,0.9117647059999999,17.0,1.0,1422,0.0,54,54,53,48,91,91,3,3.0,1.0,21,0
0,1,4.333333333,569,569,764,4.333333333,0.9117647059999999,4.0,1.0,1422,0.0,54,54,53,10,91,91,3,3.0,0.0,21,0
1,7,4.333333333,569,569,764,4.333333333,0.9117647059999999,7.0,1.0,1422,0.0,54,54,53,15,91,91,3,0.0,1.0,21,0
1,1,4.333333333,569,569,764,4.333333333,0.9117647059999999,1.0,1.0,1422,0.0,54,54,53,3,91,91,3,0.0,1.0,21,0
5,6,11.31034483,1371,1371,4344,11.31034483,0.7232142859999999,17.0,0.0,2639,0.0,106,97,87,48,328,328,8,2.0,0.333333333,29,1
4,4,1.0,14,14,3,1.0,2.0,5.0,1.0,2639,0.0,106,97,3,4,2,2,8,1.0,0.0,2,0
4,4,1.0,18,18,24,1.0,0.0,4.0,1.0,2639,15.0,106,97,9,3,4,4,8,0.0,0.0,4,1
3,3,1.0,18,18,24,1.0,0.0,3.0,1.0,2639,15.0,106,97,9,3,4,4,8,0.0,0.0,4,0
3,6,2.48,304,312,670,2.541666667,0.7013888890000001,9.0,0.833333333,2639,0.0,106,97,41,14,62,61,8,3.0,1.0,25,1
4,7,2.48,304,312,670,2.541666667,0.7013888890000001,10.0,0.833333333,2639,0.0,106,97,41,14,62,61,8,3.0,1.0,25,1
4,7,2.48,304,312,670,2.541666667,0.7013888890000001,10.0,0.833333333,2639,0.0,106,97,41,14,62,61,8,3.0,1.0,25,1
3,7,2.48,304,312,670,2.541666667,0.7013888890000001,10.0,0.833333333,2639,0.0,106,97,41,19,62,61,8,3.0,0.666666667,25,1
3,3,2.166666667,50,50,0,2.166666667,0.6,5.0,1.0,2639,14.0,106,97,6,5,13,13,8,2.0,0.0,6,0
5,6,5.4375,550,590,72,6.916666667,0.7771260999999999,13.0,0.19166666699999999,2639,0.0,106,97,34,11,174,166,8,7.0,0.0,32,1
3,3,5.4375,550,590,72,6.916666667,0.7771260999999999,0.0,0.19166666699999999,2639,0.0,106,97,34,3,174,166,8,0.0,0.0,32,0
