NMCS_method,CYCLO_method,MAXNESTING_method,LOC_method,MaMCL_method,MeMCL_method,NOAV_method,NOLV_method,CDISP_method,AMWNAMM_type,LOCNAMM_type,AMW_type,CFNAMM_type,LOC_type,CFNAMM_method,LAA_method,CINT_method,ATFD_method,FANOUT_method,LCOM5_type,TCC_type,FDP_method,RFC_type,WMC_type,WMCNAMM_type,is_switch_statements
0,1,1,5,0,0,1.0,1,0.5,1.2,39,1.142857143,55,53,4,0.0,2,0.0,1,0.916666667,0.1,0.0,13,8,6,0
0,3,2,6,0,0,1.0,0,0.0,2.3181818180000002,310,2.0333333330000003,1214,377,1,1.0,0,0.0,0,0.943965517,0.057142857000000005,0.0,208,61,51,0
0,1,1,3,0,0,1.0,2,1.0,1.0,3,1.0,4,3,2,0.0,1,0.0,1,0.0,1.0,0.0,2,1,1,0
0,1,2,3,0,0,0.0,0,1.0,1.0,5,1.0,4,5,2,0.0,1,0.0,1,0.0,1.0,0.0,2,1,1,0
0,1,1,3,0,0,6.0,0,0.0,2.0,179,1.9375,640,197,0,0.0,0,0.0,0,0.855555556,0.305555556,0.0,41,31,28,0
0,1,1,3,0,0,2.0,1,0.0,2.0,44,2.0,77,66,0,1.0,0,0.0,0,0.75,0.5,0.0,18,10,8,0
0,2,1,5,0,0,1.0,0,0.0,2.472222222,834,2.085271318,11362,1243,0,1.0,0,0.0,0,0.9859730109999999,0.028635682000000003,0.0,207,269,178,0
0,1,1,3,0,0,2.0,2,0.0,1.0,9,1.0,3,9,1,0.0,0,0.0,0,0.0,1.0,0.0,6,1,1,0
0,1,0,1,0,0,0.0,0,0.0,1.0,202,1.0,0,225,0,0.0,0,0.0,0,1.014925373,0.0,0.0,68,68,64,0
0,2,2,8,0,0,1.0,2,0.0,2.61971831,1327,2.61971831,1192,1327,0,0.0,0,0.0,0,1.0,0.000426257,0.0,96,186,186,0
0,1,0,1,0,0,0.0,1,0.0,1.0,4,1.0,0,19,0,0.0,0,0.0,0,0.0,0.0,0.0,4,4,1,0
0,1,1,3,0,0,3.0,1,0.0,1.333333333,77,1.333333333,152,77,0,1.0,0,0.0,0,0.9375,0.166666667,0.0,30,12,12,0
0,1,0,1,0,0,0.0,0,0.0,1.0,6,1.0,0,6,0,0.0,0,0.0,0,0.0,0.0,0.0,2,2,2,0
0,1,1,3,0,0,1.0,0,0.0,1.8,74,1.6666666669999999,80,86,1,1.0,0,0.0,0,0.818181818,0.527272727,0.0,22,20,18,0
0,1,0,1,0,0,11.61722488,0,0.0,1.0,83,1.0,0,83,0,0.495910908,0,2.208133971,0,0.0,0.0,0.8923444979999999,11,11,11,0
0,1,0,1,0,0,0.0,0,0.0,1.0,6,1.0,0,6,0,0.0,0,0.0,0,0.0,0.0,0.0,3,3,3,0
0,1,1,4,0,0,2.0,1,0.0,1.0,17,1.0,6,27,0,1.0,0,0.0,0,1.0,0.0,0.0,6,5,3,0
0,1,2,18,0,0,2.0,0,1.0,1.857142857,114,1.857142857,108,271,4,1.0,2,0.0,2,0.934065934,0.0,0.0,16,26,13,0
