,Gain Ratio,Features,Dataset,Threshold
0,0.031927235,NOP_method,feature-envy,0.045100153
1,0.012555754,CC_method,feature-envy,
2,0.16334305,ATFD_method,feature-envy,
3,0.180907236,FDP_method,feature-envy,
4,0.017202562,CM_method,feature-envy,
5,0.077417079,MAXNESTING_method,feature-envy,
6,0.075366442,LOC_method,feature-envy,
7,0.078461015,CYCLO_method,feature-envy,
8,0.124441826,NMCS_method,feature-envy,
9,0.056288854,NOLV_method,feature-envy,
10,0.153369352,MaMCL_method,feature-envy,
11,0.075051835,NOAV_method,feature-envy,
12,0.114224784,LAA_method,feature-envy,
13,0.081546769,FANOUT_method,feature-envy,
14,0.070464468,CFNAMM_method,feature-envy,
15,0.021593689,ATLD_method,feature-envy,
16,0.035010161,CLNAMM_method,feature-envy,
17,0.089941122,CINT_method,feature-envy,
18,0.159808543,MeMCL_method,feature-envy,
19,0.091334613,CDISP_method,feature-envy,
20,0.00242619,NOII_type,feature-envy,
21,0.021533321,NOAM_type,feature-envy,
22,0.018177664,NOCS_type,feature-envy,
23,0.033217828,NOM_type,feature-envy,
24,0.021822582,NMO_type,feature-envy,
25,0.085806201,ATFD_type,feature-envy,
26,0.044197766,FANOUT_type,feature-envy,
27,0.026586333,NOMNAMM_type,feature-envy,
28,0.020742323,NOA_type,feature-envy,
29,0.038459106,NIM_type,feature-envy,
30,0.009951746,DIT_type,feature-envy,
31,0.071215388,LOC_type,feature-envy,
32,0.072267593,LOCNAMM_type,feature-envy,
33,0.055072852,CFNAMM_type,feature-envy,
34,0.056973914,TCC_type,feature-envy,
35,0.02115116,NOPA_type,feature-envy,
36,0.048589932,CBO_type,feature-envy,
37,0.055014673,RFC_type,feature-envy,
38,0.024210725,NOC_type,feature-envy,
39,0.055977845,WMC_type,feature-envy,
40,0.057556973,LCOM5_type,feature-envy,
41,0.03954253,WOC_type,feature-envy,
42,0.053931201,WMCNAMM_type,feature-envy,
43,0.069227074,AMW_type,feature-envy,
44,0.071169928,AMWNAMM_type,feature-envy,
45,0.035105305,NOCS_package,feature-envy,
46,0.051857669,NOMNAMM_package,feature-envy,
47,0.018726202,NOI_package,feature-envy,
48,0.066663346,LOC_package,feature-envy,
49,0.055942386,NOM_package,feature-envy,
50,0.019171794,NOPK_project,feature-envy,
51,0.022950665,NOCS_project,feature-envy,
52,0.022608538,NOI_project,feature-envy,
53,0.023599559,NOM_project,feature-envy,
54,0.023599559,NOMNAMM_project,feature-envy,
55,0.023599559,LOC_project,feature-envy,
56,-1.81E-15,isStatic_type,feature-envy,
57,0.02324949,number_private_visibility_attributes,feature-envy,
58,0.028462519,number_protected_visibility_attributes,feature-envy,
59,0.033278327,number_package_visibility_attributes,feature-envy,
60,0.018558843,num_final_attributes,feature-envy,
61,0.021841911,num_static_attributes,feature-envy,
62,0.019800754,num_final_static_attributes,feature-envy,
63,0.022420851,num_not_final_not_static_attributes,feature-envy,
64,0.018788401,num_final_not_static_attributes,feature-envy,
65,0.017917534,num_static_not_final_attributes,feature-envy,
66,0.027815085,number_public_visibility_methods,feature-envy,
67,0.020997411,number_private_visibility_methods,feature-envy,
68,0.021756005,number_protected_visibility_methods,feature-envy,
69,0.035430322,number_package_visibility_methods,feature-envy,
70,0.030514134,number_final_methods,feature-envy,
71,0.014644948,number_abstract_methods,feature-envy,
72,0.02964863,number_not_abstract_not_final_methods,feature-envy,
73,0.023003011,number_static_methods,feature-envy,
74,0.014724436,number_final_static_methods,feature-envy,
75,0.037086541,number_final_not_static_methods,feature-envy,
76,0.025400804,number_not_final_static_methods,feature-envy,
77,0.02697189,number_not_final_not_static_methods,feature-envy,
78,0.027830039,number_standard_design_methods,feature-envy,
79,0.000180956,number_constructor_DefaultConstructor_methods,feature-envy,
80,0.007569128,number_constructor_NotDefaultConstructor_methods,feature-envy,
81,0.001416786,isStatic_method,feature-envy,
