,Gain Ratio,Features,Dataset,Threshold
0,0.047754025,NOII_type,god-class,0.068714241
1,0.027812026,NOAM_type,god-class,
2,0.104628159,NOCS_type,god-class,
3,0.080070182,NOM_type,god-class,
4,0.047131297,NMO_type,god-class,
5,0.135209853,ATFD_type,god-class,
6,0.123058892,FANOUT_type,god-class,
7,0.110612927,NOMNAMM_type,god-class,
8,0.057916403,NOA_type,god-class,
9,0.054410561,NIM_type,god-class,
10,0.00844711,DIT_type,god-class,
11,0.080115786,LOC_type,god-class,
12,0.083077477,LOCNAMM_type,god-class,
13,0.117885645,CFNAMM_type,god-class,
14,0.088563188,TCC_type,god-class,
15,0.093585955,CBO_type,god-class,
16,0.08861832,RFC_type,god-class,
17,0.036586983,NOC_type,god-class,
18,0.099418925,WMC_type,god-class,
19,0.087508195,LCOM5_type,god-class,
20,0.067560548,WOC_type,god-class,
21,0.111736488,WMCNAMM_type,god-class,
22,0.113147824,AMW_type,god-class,
23,0.113638495,AMWNAMM_type,god-class,
24,0.035834975,NOCS_package,god-class,
25,0.05723823,NOMNAMM_package,god-class,
26,0.031590925,NOI_package,god-class,
27,0.064251945,LOC_package,god-class,
28,0.055395214,NOM_package,god-class,
29,0.026911093,NOPK_project,god-class,
30,0.032715711,NOCS_project,god-class,
31,0.029554866,NOI_project,god-class,
32,0.032644477,NOM_project,god-class,
33,0.032644477,NOMNAMM_project,god-class,
34,0.032644477,LOC_project,god-class,
35,0.086163421,isStatic_type,god-class,
36,0.034184289,NOPA_type,god-class,
37,0.062408212,number_private_visibility_attributes,god-class,
38,0.065916836,number_protected_visibility_attributes,god-class,
39,0.051032946,number_package_visibility_attributes,god-class,
40,0.06134158,num_final_attributes,god-class,
41,0.071371096,num_static_attributes,god-class,
42,0.067010903,num_final_static_attributes,god-class,
43,0.051770816,num_not_final_not_static_attributes,god-class,
44,0.068495521,num_final_not_static_attributes,god-class,
45,0.06013992,num_static_not_final_attributes,god-class,
46,0.046782402,number_public_visibility_methods,god-class,
47,0.120863752,number_private_visibility_methods,god-class,
48,0.092734114,number_protected_visibility_methods,god-class,
49,0.042719386,number_package_visibility_methods,god-class,
50,0.073497217,number_final_methods,god-class,
51,0.051378687,number_abstract_methods,god-class,
52,0.07519833,number_not_abstract_not_final_methods,god-class,
53,0.095922959,number_static_methods,god-class,
54,0.076739324,number_final_static_methods,god-class,
55,0.07641891,number_final_not_static_methods,god-class,
56,0.099924634,number_not_final_static_methods,god-class,
57,0.066550307,number_not_final_not_static_methods,god-class,
58,0.119339906,number_standard_design_methods,god-class,
59,0.040581632,number_constructor_DefaultConstructor_methods,god-class,
60,0.023159933,number_constructor_NotDefaultConstructor_methods,god-class,
