,Gain Ratio,Features,Dataset,Threshold
0,0.068701809,NOP_method,long-method,0.052911613
1,0.005635806,CC_method,long-method,
2,0.070395197,ATFD_method,long-method,
3,0.093475807,FDP_method,long-method,
4,0.008191884,CM_method,long-method,
5,0.207487149,MAXNESTING_method,long-method,
6,0.101500746,LOC_method,long-method,
7,0.144927325,CYCLO_method,long-method,
8,0.087874548,NMCS_method,long-method,
9,0.120255985,NOLV_method,long-method,
10,0.089075427,MaMCL_method,long-method,
11,0.098473582,NOAV_method,long-method,
12,0.078908398,LAA_method,long-method,
13,0.087006037,FANOUT_method,long-method,
14,0.092302939,CFNAMM_method,long-method,
15,0.059319994,ATLD_method,long-method,
16,0.088756415,CLNAMM_method,long-method,
17,0.090463254,CINT_method,long-method,
18,0.085997256,MeMCL_method,long-method,
19,0.094971992,CDISP_method,long-method,
20,0.008217247,NOII_type,long-method,
21,0.029626107,NOAM_type,long-method,
22,0.022232394,NOCS_type,long-method,
23,0.038742897,NOM_type,long-method,
24,0.020648467,NMO_type,long-method,
25,0.054535881,ATFD_type,long-method,
26,0.046127497,FANOUT_type,long-method,
27,0.038267532,NOMNAMM_type,long-method,
28,0.042130037,NOA_type,long-method,
29,0.049539456,NIM_type,long-method,
30,0.011872531,DIT_type,long-method,
31,0.076633445,LOC_type,long-method,
32,0.077313952,LOCNAMM_type,long-method,
33,0.054711502,CFNAMM_type,long-method,
34,0.065843585,TCC_type,long-method,
35,0.027338057,NOPA_type,long-method,
36,0.04286697,CBO_type,long-method,
37,0.051029453,RFC_type,long-method,
38,0.033604809,NOC_type,long-method,
39,0.070177254,WMC_type,long-method,
40,0.070693116,LCOM5_type,long-method,
41,0.048503108,WOC_type,long-method,
42,0.073803724,WMCNAMM_type,long-method,
43,0.082323991,AMW_type,long-method,
44,0.085672882,AMWNAMM_type,long-method,
45,0.037391532,NOCS_package,long-method,
46,0.061307905,NOMNAMM_package,long-method,
47,0.032816534,NOI_package,long-method,
48,0.071287312,LOC_package,long-method,
49,0.062796484,NOM_package,long-method,
50,0.017077461,NOPK_project,long-method,
51,0.023213485,NOCS_project,long-method,
52,0.019040048,NOI_project,long-method,
53,0.023052241,NOM_project,long-method,
54,0.023052241,NOMNAMM_project,long-method,
55,0.023052241,LOC_project,long-method,
56,0.050044502,isStatic_type,long-method,
57,0.040740498,number_private_visibility_attributes,long-method,
58,0.043896796,number_protected_visibility_attributes,long-method,
59,0.025708391,number_package_visibility_attributes,long-method,
60,0.048442104,num_final_attributes,long-method,
61,0.046502186,num_static_attributes,long-method,
62,0.038358419,num_final_static_attributes,long-method,
63,0.031523849,num_not_final_not_static_attributes,long-method,
64,0.046979803,num_final_not_static_attributes,long-method,
65,0.024980588,num_static_not_final_attributes,long-method,
66,0.027383329,number_public_visibility_methods,long-method,
67,0.035885832,number_private_visibility_methods,long-method,
68,0.040491123,number_protected_visibility_methods,long-method,
69,0.050902607,number_package_visibility_methods,long-method,
70,0.053437109,number_final_methods,long-method,
71,0.041324415,number_abstract_methods,long-method,
72,0.034729412,number_not_abstract_not_final_methods,long-method,
73,0.036519364,number_static_methods,long-method,
74,0.035630755,number_final_static_methods,long-method,
75,0.057348264,number_final_not_static_methods,long-method,
76,0.037444417,number_not_final_static_methods,long-method,
77,0.041105389,number_not_final_not_static_methods,long-method,
78,0.041038188,number_standard_design_methods,long-method,
79,0.001831215,number_constructor_DefaultConstructor_methods,long-method,
80,0.009505364,number_constructor_NotDefaultConstructor_methods,long-method,
81,0.006733412,isStatic_method,long-method,
