,Gain Ratio,Features,Dataset,Threshold
0,0.150521333,NOP_method,long_parameters_list,0.02800218
1,0.009520844,CC_method,long_parameters_list,
2,0.016770627,ATFD_method,long_parameters_list,
3,0.009191893,FDP_method,long_parameters_list,
4,0.010599877,CM_method,long_parameters_list,
5,0.008919821,MAXNESTING_method,long_parameters_list,
6,0.035607853,LOC_method,long_parameters_list,
7,0.014907473,CYCLO_method,long_parameters_list,
8,6.03E-06,NMCS_method,long_parameters_list,
9,0.07489174,NOLV_method,long_parameters_list,
10,6.03E-06,MaMCL_method,long_parameters_list,
11,0.050010879,NOAV_method,long_parameters_list,
12,0.026607394,LAA_method,long_parameters_list,
13,0.01195899,FANOUT_method,long_parameters_list,
14,0.017827028,CFNAMM_method,long_parameters_list,
15,0.030022111,ATLD_method,long_parameters_list,
16,0.014538997,CINT_method,long_parameters_list,
17,6.03E-06,MeMCL_method,long_parameters_list,
18,0.028813334,CDISP_method,long_parameters_list,
19,0.013377864,NOII_type,long_parameters_list,
20,0.021364847,NOAM_type,long_parameters_list,
21,0.017962712,NOCS_type,long_parameters_list,
22,0.028594541,NOM_type,long_parameters_list,
23,0.015509502,NMO_type,long_parameters_list,
24,0.019705999,ATFD_type,long_parameters_list,
25,0.021868422,FANOUT_type,long_parameters_list,
26,0.01932622,NOMNAMM_type,long_parameters_list,
27,0.021915862,NOA_type,long_parameters_list,
28,0.044148379,NIM_type,long_parameters_list,
29,0.005287996,DIT_type,long_parameters_list,
30,0.056278329,LOC_type,long_parameters_list,
31,0.057197138,LOCNAMM_type,long_parameters_list,
32,0.052442769,CFNAMM_type,long_parameters_list,
33,0.045314508,TCC_type,long_parameters_list,
34,0.013604801,NOPA_type,long_parameters_list,
35,0.022127341,CBO_type,long_parameters_list,
36,0.037929731,RFC_type,long_parameters_list,
37,0.027582196,NOC_type,long_parameters_list,
38,0.034789871,WMC_type,long_parameters_list,
39,0.050444082,LCOM5_type,long_parameters_list,
40,0.025456414,WOC_type,long_parameters_list,
41,0.034145788,WMCNAMM_type,long_parameters_list,
42,0.05902546,AMW_type,long_parameters_list,
43,0.051796517,AMWNAMM_type,long_parameters_list,
44,0.031194733,NOCS_package,long_parameters_list,
45,0.041503505,NOMNAMM_package,long_parameters_list,
46,0.012452454,NOI_package,long_parameters_list,
47,0.044178335,LOC_package,long_parameters_list,
48,0.042719807,NOM_package,long_parameters_list,
49,0.010105021,NOPK_project,long_parameters_list,
50,0.010008099,NOCS_project,long_parameters_list,
51,0.010008099,NOI_project,long_parameters_list,
52,0.010008099,NOM_project,long_parameters_list,
53,0.010008099,NOMNAMM_project,long_parameters_list,
54,0.010008099,LOC_project,long_parameters_list,
