,Gain Ratio,Features,Dataset,Threshold
0,0.028128524,NOP_method,switch_statements,0.038458883
1,0.013027437,CC_method,switch_statements,
2,0.046959704,ATFD_method,switch_statements,
3,0.042137235,FDP_method,switch_statements,
4,0.013295228,CM_method,switch_statements,
5,0.096990122,MAXNESTING_method,switch_statements,
6,0.079911557,LOC_method,switch_statements,
7,0.100914469,CYCLO_method,switch_statements,
8,0.128394405,NMCS_method,switch_statements,
9,0.064361841,NOLV_method,switch_statements,
10,0.07984637,MaMCL_method,switch_statements,
11,0.067582788,NOAV_method,switch_statements,
12,0.049895632,LAA_method,switch_statements,
13,0.046046891,FANOUT_method,switch_statements,
14,0.055413596,CFNAMM_method,switch_statements,
15,0.034182617,ATLD_method,switch_statements,
16,0.048735265,CINT_method,switch_statements,
17,0.07984637,MeMCL_method,switch_statements,
18,0.060951416,CDISP_method,switch_statements,
19,0.004869589,NOII_type,switch_statements,
20,0.015575707,NOAM_type,switch_statements,
21,0.011474001,NOCS_type,switch_statements,
22,0.025487515,NOM_type,switch_statements,
23,0.022567463,NMO_type,switch_statements,
24,0.028400914,ATFD_type,switch_statements,
25,0.022541788,FANOUT_type,switch_statements,
26,0.020802182,NOMNAMM_type,switch_statements,
27,0.016484154,NOA_type,switch_statements,
28,0.035034447,NIM_type,switch_statements,
29,0.009412025,DIT_type,switch_statements,
30,0.055441985,LOC_type,switch_statements,
31,0.056309822,LOCNAMM_type,switch_statements,
32,0.055993474,CFNAMM_type,switch_statements,
33,0.045655631,TCC_type,switch_statements,
34,0.011961284,NOPA_type,switch_statements,
35,0.023647017,CBO_type,switch_statements,
36,0.04123027,RFC_type,switch_statements,
37,0.010155197,NOC_type,switch_statements,
38,0.041156291,WMC_type,switch_statements,
39,0.045907124,LCOM5_type,switch_statements,
40,0.034628658,WOC_type,switch_statements,
41,0.041125148,WMCNAMM_type,switch_statements,
42,0.056178646,AMW_type,switch_statements,
43,0.059926278,AMWNAMM_type,switch_statements,
44,0.016858375,NOCS_package,switch_statements,
45,0.030190188,NOMNAMM_package,switch_statements,
46,0.006705404,NOI_package,switch_statements,
47,0.031639888,LOC_package,switch_statements,
48,0.031103446,NOM_package,switch_statements,
49,0.011992354,NOPK_project,switch_statements,
50,0.011632166,NOCS_project,switch_statements,
51,0.011632166,NOI_project,switch_statements,
52,0.011632166,NOM_project,switch_statements,
53,0.011632166,NOMNAMM_project,switch_statements,
54,0.011632166,LOC_project,switch_statements,
